date_local,player_name,player_id,oz_id,steamid64,message_text,logs.tf
2025-09-16 22:19,APVC,4324,4288,76561199090168813,HOME BITCH,https://logs.tf/3933628
2025-09-16 23:16,doku,4960,4924,76561199205319751,he call me nigga in german,https://logs.tf/3933634
2025-09-16 23:16,Fruit,3292,3256,76561198247826480,DIE BITCH,https://logs.tf/3933634
2025-09-16 23:16,doku,4960,4924,76561199205319751,lucky bitch your med hit a bow,https://logs.tf/3933634
2025-09-16 23:24,silvo,373,333,76561198186769550,BITCH,https://logs.tf/3933641
2025-09-16 23:51,doku,4960,4924,76561199205319751,fking bitch bro,https://logs.tf/3933640
2025-09-17 02:12,hoxy.my,3516,3480,76561198135473413,ur playin ur main nigga,https://logs.tf/3933670
2025-09-17 03:13,tez,5850,5846,76561198963311745,nigga u taunting?,https://logs.tf/3933683
2025-09-17 05:57,zhern,4238,4202,76561198027033926,Retard,https://logs.tf/3933827
2025-09-17 05:57,zhern,4238,4202,76561198027033926,stop spamming me on steam retard,https://logs.tf/3933827
2025-09-17 10:44,raisin,4967,4931,76561199168887711,your ass got pegged to hard from dropping the soap that you turned to faggot?,https://logs.tf/3933948
2025-09-17 21:07,durp,2719,2683,76561198061067156,youre a weird cunt roman,https://logs.tf/3934172
