current_name,steamid64,oz_id,c_all,c180,c31,c7,first_hit_utc,last_hit_utc
Morgan,76561198051599124,2029,274,0,0,0,2016-02-20,2023-02-22
deceptive,76561198281755237,1916,274,0,0,0,2016-11-20,2022-04-02
yewl,76561198000946651,148,274,0,0,0,2014-06-30,2022-11-19
extrasolar,76561198060855505,1723,273,0,0,0,2014-05-26,2020-01-26
sunflower,76561198416282143,3109,273,12,8,0,2019-01-27,2025-09-01
duck,76561198083481668,105,270,0,0,0,2015-07-08,2021-03-16
sle_epy,76561198051083025,3257,270,1,1,0,2014-10-28,2025-09-06
moralexei,76561198102195119,2251,269,0,0,0,2014-07-05,2023-09-22
quid,76561198073922951,221,268,0,0,0,2014-07-08,2025-02-21
w4lker,76561198088465391,1368,267,0,0,0,2016-07-24,2024-05-28
L'amour Toujours,76561198294106459,454,265,0,0,0,2016-12-27,2024-09-17
LaMqTa,76561197998273743,1114,265,0,0,0,2012-12-04,2022-02-07
jane doe,76561198063333017,68,261,0,0,0,2015-06-14,2020-11-20
[GN92] Cha1r,76561198984387837,4458,260,77,6,0,2022-07-15,2025-09-06
pozi,76561198068898681,966,259,0,0,0,2016-02-11,2023-12-16
joe,76561198214507443,2427,257,0,0,0,2017-04-08,2019-09-21
n4ver,76561198056629020,1169,256,1,0,0,2016-10-03,2025-08-15
Hellblazer,76561198027274045,2211,254,0,0,0,2013-08-14,2023-10-03
Jas,76561198130312064,2713,254,0,0,0,2017-05-30,2024-05-05
zhern,76561198027033926,4202,254,7,0,0,2020-07-31,2025-06-24
bappo,76561198085486146,1315,253,0,0,0,2018-02-09,2024-03-17
bkts,76561198147248917,3234,253,0,0,0,2016-10-22,2024-08-21
narkkari,76561198338104377,1232,253,0,0,0,2016-11-03,2020-12-14
KING BIG NUTZ 2021,76561198039913278,3263,251,7,2,1,2014-05-09,2025-09-13
strongman,76561198326005477,3291,251,0,0,0,2020-11-04,2024-10-03
Myoui,76561198099307601,950,248,0,0,0,2015-12-08,2024-09-02
nxs,76561198056993432,243,248,0,0,0,2016-03-14,2024-07-28
cooki,76561198047591316,86,247,2,0,0,2015-07-11,2025-07-22
ifun KappaChungusDeluxe,76561198030880491,1541,247,8,2,0,2014-06-17,2025-08-26
Paulsen,76561197995572690,225,245,0,0,0,2015-02-11,2024-07-17
frhank,76561198007947876,204,243,0,0,0,2014-06-11,2021-02-10
matej ♫,76561198273088889,1610,243,0,0,0,2017-07-15,2023-07-31
FreeAlan,76561197994194946,3047,242,17,0,0,2022-03-17,2025-08-12
freemaxonrsl,76561198193802859,844,241,0,0,0,2016-10-08,2022-07-26
fizz,76561198131483466,694,239,0,0,0,2015-04-15,2023-07-13
gstar,76561198072794402,609,236,0,0,0,2015-01-08,2017-06-16
Alex,76561198044206057,220,234,0,0,0,2013-12-29,2020-11-18
janga7,76561198125511936,326,234,4,0,0,2015-11-06,2025-07-16
Ghosty™,76561198072165695,1736,232,1,0,0,2016-03-10,2025-06-19
lew,76561198382489728,5962,232,11,0,0,2020-04-15,2025-07-08
yuyuko 🌸,76561198090666029,1584,226,0,0,0,2016-04-02,2021-06-24
laan,76561198059316583,376,225,0,0,0,2014-08-13,2018-06-09
stickman,76561198438053224,3166,225,12,4,0,2019-04-15,2025-08-26
farn,76561198156007049,1272,224,6,0,0,2015-11-22,2025-06-11
akari,76561198068549523,738,222,10,4,1,2017-01-30,2025-09-13
jiho,76561198066291473,254,222,0,0,0,2014-12-06,2020-05-09
ceekay,76561198276376906,551,220,3,0,0,2017-02-17,2025-08-01
-TFL,76561198199614885,2579,219,3,0,0,2016-09-05,2025-06-04
ar1stotel,76561198142202267,2210,218,0,0,0,2019-06-10,2023-03-25
hondjo,76561198119324108,1179,218,0,0,0,2016-03-23,2024-01-24
tyrone,76561198095542976,1035,217,0,0,0,2013-08-12,2023-09-02
Mr. Manager [elo.associates],76561198154342943,2674,216,0,0,0,2016-02-10,2021-10-02
Raelen,76561198081965657,2341,215,3,0,0,2019-11-27,2025-08-14
Slicerogue,76561198079978485,2474,215,3,0,0,2014-05-17,2025-07-27
.n3xt,76561198834920007,3019,214,0,0,0,2020-09-14,2024-05-30
signs,76561198050869350,673,214,0,0,0,2014-08-28,2020-02-27
SoLe,76561197963890598,267,213,0,0,0,2014-03-18,2018-12-27
dracomm,76561198163331656,1034,213,1,0,0,2015-06-28,2025-05-12
sunfish,76561198031500763,1087,213,0,0,0,2017-07-24,2023-02-26
DeDstar,76561198082461749,976,211,0,0,0,2015-12-14,2022-08-01
sageEU,76561198011988825,1316,211,1,0,0,2014-08-12,2025-07-13
black,76561198261795972,2340,210,0,0,0,2017-10-01,2024-09-23
munch,76561198088063575,218,210,0,0,0,2014-10-16,2021-01-30
Rockz,76561198071882999,1750,209,4,2,0,2015-04-02,2025-08-24
bible,76561198275056487,1942,209,0,0,0,2018-09-08,2022-07-28
ult,76561198118228294,1587,209,0,0,0,2017-08-26,2021-06-22
hezzyyy1,76561198291660586,3091,207,22,9,0,2016-12-17,2025-09-09
Unban Rose,76561198339772595,612,206,4,0,0,2018-07-08,2025-06-25
max,76561198873822480,2117,205,0,0,0,2019-02-27,2024-06-09
cv_firee,76561198303081758,5618,204,31,0,0,2023-06-21,2025-07-21
exile,76561198047813960,2606,204,1,0,0,2014-07-05,2025-06-06
Blawur,76561198086972914,3483,203,0,0,0,2014-05-21,2024-05-03
Josh,76561198053522366,215,202,0,0,0,2013-12-19,2020-10-05
idi na hui,76561198048007654,824,202,0,0,0,2014-11-04,2021-10-06
ong,76561198068701334,583,202,0,0,0,2015-08-07,2023-04-24
gotaki,76561198039920735,700,200,59,4,0,2018-03-03,2025-09-08
Ronm8,76561197970576991,1145,199,0,0,0,2013-12-13,2018-01-28
pc,76561198290269128,1234,199,3,0,0,2017-04-22,2025-08-14
Marv,76561198042599456,3012,198,1,0,0,2014-09-02,2025-07-10
ohai,76561198098622964,286,197,0,0,0,2015-09-24,2023-05-13
Heath,76561198070375398,3739,195,0,0,0,2014-01-18,2021-08-25
lightning,76561198261565607,1927,195,0,0,0,2018-10-27,2022-07-30
2345y.,76561198076912448,278,193,4,0,0,2015-12-05,2025-08-13
Ascend,76561198046711192,1143,192,0,0,0,2014-10-12,2022-08-01
95,76561198169916882,1804,191,3,2,0,2019-02-26,2025-09-07
DelT,76561198204007537,1445,191,0,0,0,2017-01-22,2023-09-05
Navedh_k1ng,76561198175935671,1964,191,3,0,0,2017-01-28,2025-08-13
Trash,76561198110764631,3998,191,14,2,1,2022-09-03,2025-09-11
trev,76561198096472815,1871,191,16,9,1,2018-07-16,2025-09-11
thelampshade22,76561198019734321,37,190,0,0,0,2014-06-06,2020-10-20
riotbz,76561198065169685,19,187,1,1,0,2013-07-10,2025-08-18
zel.,76561199207949206,5898,187,0,0,0,2022-05-01,2024-07-20
doo,76561199088864128,3827,185,1,0,0,2021-03-08,2025-06-28
bobeh,76561198033351858,5058,184,6,0,0,2017-03-19,2025-07-26
starli,76561198138883788,1405,181,0,0,0,2014-12-30,2023-11-22
chongy,76561198016239746,642,178,1,0,0,2013-08-30,2025-06-21
Megu,76561198261853505,1536,177,3,0,0,2017-06-02,2025-06-20
catwif,76561198886335531,4831,176,18,0,0,2019-02-02,2025-07-02
birdie,76561198052645355,573,175,0,0,0,2014-04-17,2017-02-23
degu,76561198028977400,932,175,0,0,0,2014-10-10,2022-10-30
lazcore,76561198140731013,2825,175,21,2,0,2018-11-24,2025-09-07
taimo,76561198112417529,2681,175,0,0,0,2015-04-18,2025-02-06
hex,76561198157513429,4589,171,34,0,0,2023-06-24,2025-05-20
josh,76561198013207524,4268,171,0,0,0,2017-10-01,2024-11-21
ruka-,76561198802180851,5680,171,12,12,0,2018-01-15,2025-09-06
dril,76561198827805451,2027,170,30,8,2,2018-09-08,2025-09-14
bitvolt,76561198172835842,1022,169,0,0,0,2017-09-02,2022-01-24
brodie escobar,76561198086751156,150,169,9,5,2,2014-11-09,2025-09-14
kaldoz,76561198261198393,4893,169,22,1,0,2018-06-30,2025-09-09
good small horce,76561198141708685,830,166,0,0,0,2016-12-12,2022-02-10
yuna,76561198358100512,2425,166,10,0,0,2018-06-09,2025-08-12
namey,76561198039441577,1398,165,0,0,0,2015-07-04,2025-03-17
JojoSiwa,76561198040091450,5322,162,0,0,0,2014-07-02,2016-12-02
Poeyy,76561198261757564,2647,161,0,0,0,2016-08-06,2020-07-13
jan.,76561198917288720,3552,161,0,0,0,2020-07-28,2023-07-13
