current_name,steamid64,oz_id,date_utc,text
AUZ,76561198206072125,912,2025-09-13,SHOOTING ME CUNt
trev,76561198096472815,1871,2025-09-11,nah lucky bitch
Trash,76561198110764631,3998,2025-09-11,THIS GAME SUCKS CUNT
wysm,76561199005591075,5425,2025-09-14,shitter
Morbus,76561198258717546,3971,2025-09-12,what did u ask me nigga
APVC,76561199090168813,4288,2025-09-12,Fatass
tez,76561198963311745,5846,2025-09-12,nigger
brodie escobar,76561198086751156,150,2025-09-14,capy : retard
Tenous,76561198143631024,3629,2025-09-12,ugly bitch cunt pizza durr burger
qb,76561198412329672,5488,2025-09-11,nigger pipe
LOLoliver,76561199109988283,5244,2025-09-12,NIGGA IS FUCKING GAY
shooter of bad guys,76561198838163169,4962,2025-09-12,*DEAD* Nova :  FUCK YOU YOU PEICE OF SHIT NOT DOING NOTHING RETARD ASS BITCH
Gooseman,76561198011425371,675,2025-09-10,as i said to apvc. Kill yourself you fucking retard
dril,76561198827805451,2027,2025-09-14,fkin nigger
monkeyspanker43,76561198819280984,2815,2025-09-13,u my bitch doctrine
silvo,76561198186769550,333,2025-09-11,idk wils is retarded
h1ro,76561198307700283,1381,2025-09-11,fuck u doing there nigga
APVC,76561199090168813,4288,2025-09-12,fatass
LOLoliver,76561199109988283,5244,2025-09-12,you play like a fucking nigger thats on meth
h1ro,76561198307700283,1381,2025-09-11,NIGGA HESITATING
zek,76561198324300584,5308,2025-09-11,rfuck you cunt
LOLoliver,76561199109988283,5244,2025-09-12,FUCKINGG NIGGAAAA
YkjR,76561198825185244,3666,2025-09-13,you fag
Toki,76561198337887896,5120,2025-09-10,fucking retard
PILLS!,76561198315362212,5920,2025-09-13,nigger
qb,76561198412329672,5488,2025-09-11,nigga
doku,76561199205319751,4924,2025-09-14,you are retard
1O9,76561198212029720,5449,2025-09-13,nigga movement
Stamm,76561198041993019,3747,2025-09-10,u cunts were all malnourished in the womb
Jackaks,76561199516381193,5750,2025-09-10,nigga game
typo.,76561198397355790,2679,2025-09-14,trash : retard
brodie escobar,76561198086751156,150,2025-09-14,capy : retard
akari,76561198068549523,738,2025-09-13,lucky bitch corn
h1ro,76561198307700283,1381,2025-09-11,WHIPPED THAT NIGGA TO DEATH
juna,76561198513775985,4559,2025-09-10,i might be retarded
Gooseman,76561198011425371,675,2025-09-12,i bury fucking scatter into your navel cavity and get 30 FUCKING DAMAGE CUNT
monkeyspanker43,76561198819280984,2815,2025-09-14,* ms. pauling bong fiend :  retard
down,76561198084977572,299,2025-09-11,fat bitch
AUZ,76561198206072125,912,2025-09-14,all game long bitch
h1ro,76561198307700283,1381,2025-09-11,lucky bitch
qb,76561198412329672,5488,2025-09-10,nigga what
hoyehh,76561198131939903,3682,2025-09-12,BITCH
MEMORIES,76561198120920913,554,2025-09-14,ur retarded
dril,76561198827805451,2027,2025-09-13, nigga team
KING BIG NUTZ 2021,76561198039913278,3263,2025-09-13,run @ me u small cunt... ur r fucking minute 
doku,76561199205319751,4924,2025-09-14,Nigga
AUZ,76561198206072125,912,2025-09-14,BY ME BITCH
shadi,76561198073097952,4907,2025-09-13,wait u cunts sucj
zek,76561198324300584,5308,2025-09-12,its too fuckign storng cunt
qb,76561198412329672,5488,2025-09-10,"LemonAids : chatgpt, generate me a retarded pocket scout"
schnapps,76561198146554815,5299,2025-09-14,bitch ass
APVC,76561199090168813,4288,2025-09-12,fatass
amnok,76561198066752804,4104,2025-09-14,nigger
ziah,76561198159375596,4395,2025-09-14,LETS GO FAGGOTS!
ALL HAIL KING BIG NUTZ 2021,76561197982503303,352,2025-09-12,fucking cunt holy shit piece of shit 
APVC,76561199090168813,4288,2025-09-13,fatass
